year,state,totals
2017,Wyoming,4269
2017,Alabama,48769
2017,Alaska,6971
2017,Arizona,38170
2017,Arkansas,23290
2017,California,146592
2017,Colorado,45645
2017,Connecticut,18787
2017,Delaware,5527
2017,District of Columbia,111
2017,Florida,122716
2017,Georgia,57235
2017,Guam,136
2017,Hawaii,1090
2017,Idaho,16675
2017,Illinois,163728
2017,Indiana,79624
2017,Iowa,20026
2017,Kansas,17891
2017,Kentucky,397959
2017,Louisiana,29310
2017,Maine,9632
2017,Mariana Islands,11
2017,Maryland,15769
2017,Massachusetts,21059
2017,Michigan,54452
2017,Minnesota,77749
2017,Mississippi,24421
2017,Missouri,52928
2017,Montana,12396
2017,Nebraska,7337
2017,Nevada,14158
2017,New Hampshire,13529
2017,New Jersey,10993
2017,New Mexico,14963
2017,New York,35608
2017,North Carolina,55574
2017,North Dakota,6461
2017,Ohio,81153
2017,Oklahoma,30518
2017,Oregon,32423
2017,Pennsylvania,110334
2017,Puerto Rico,1560
2017,Rhode Island,2553
2017,South Carolina,43113
2017,South Dakota,9770
2017,Tennessee,74655
2017,Texas,144270
2017,Utah,26941
2017,Vermont,4051
2017,Virgin Islands,96
2017,Virginia,49368
2017,Washington,58069
2017,West Virginia,22529
2017,Wisconsin,58739
2017,Wyoming,5315
2017,Alabama,46251
2017,Alaska,5917
2017,Arizona,37388
2017,Arkansas,22548
2017,California,129885
2017,Colorado,43577
2017,Connecticut,15209
2017,Delaware,5066
2017,District of Columbia,93
2017,Florida,117892
2017,Georgia,53177
2017,Guam,132
2017,Hawaii,1037
2017,Idaho,14936
2017,Illinois,139697
2017,Indiana,136193
2017,Iowa,15025
2017,Kansas,19211
2017,Kentucky,313748
2017,Louisiana,27684
2017,Maine,7731
2017,Mariana Islands,0
2017,Maryland,14852
2017,Massachusetts,18130
2017,Michigan,48382
2017,Minnesota,62051
2017,Mississippi,24043
2017,Missouri,50850
2017,Montana,10386
2017,Nebraska,7122
2017,Nevada,11765
2017,New Hampshire,12282
2017,New Jersey,9601
2017,New Mexico,15364
2017,New York,31910
2017,North Carolina,51627
2017,North Dakota,6193
2017,Ohio,74257
2017,Oklahoma,30840
2017,Oregon,29183
2017,Pennsylvania,95585
2017,Puerto Rico,1259
2017,Rhode Island,2354
2017,South Carolina,41969
2017,South Dakota,9754
